message_content,arrival_time,processing_time,completion_time
Msg de hilo 45 - Time: 1771100610.9903073,2026-02-14T20:29:49.499583,0.2374,2026-02-14T20:29:49.737283
Msg de hilo 7 - Time: 1771100611.037336,2026-02-14T20:29:49.738235,0.1478,2026-02-14T20:29:49.886321
Msg de hilo 22 - Time: 1771100611.037336,2026-02-14T20:29:49.887319,0.3938,2026-02-14T20:29:50.281606
Msg de hilo 28 - Time: 1771100611.0987415,2026-02-14T20:29:50.282508,0.4351,2026-02-14T20:29:50.718177
Msg de hilo 30 - Time: 1771100611.1918254,2026-02-14T20:29:50.719181,0.2922,2026-02-14T20:29:51.011788
Msg de hilo 40 - Time: 1771100611.2695768,2026-02-14T20:29:51.012719,0.1077,2026-02-14T20:29:51.120616
Msg de hilo 29 - Time: 1771100611.331722,2026-02-14T20:29:51.121641,0.2555,2026-02-14T20:29:51.377543
Msg de hilo 39 - Time: 1771100611.331722,2026-02-14T20:29:51.378403,0.4387,2026-02-14T20:29:51.817684
Msg de hilo 34 - Time: 1771100611.4094841,2026-02-14T20:29:51.818690,0.1222,2026-02-14T20:29:51.941102
Msg de hilo 12 - Time: 1771100611.4094841,2026-02-14T20:29:51.941990,0.1492,2026-02-14T20:29:52.091403
Msg de hilo 1 - Time: 1771100611.4094841,2026-02-14T20:29:52.092319,1.6496,2026-02-14T20:29:53.743715
Msg de hilo 4 - Time: 1771100611.4707608,2026-02-14T20:29:53.744574,0.2874,2026-02-14T20:29:54.032361
Msg de hilo 25 - Time: 1771100611.5329592,2026-02-14T20:29:54.033406,0.1373,2026-02-14T20:29:54.170952
Msg de hilo 20 - Time: 1771100611.5638814,2026-02-14T20:29:54.171817,0.0216,2026-02-14T20:29:54.193594
Msg de hilo 18 - Time: 1771100611.5952208,2026-02-14T20:29:54.194430,0.4358,2026-02-14T20:29:54.630815
Msg de hilo 19 - Time: 1771100611.5952208,2026-02-14T20:29:54.631735,0.4694,2026-02-14T20:29:55.101711
Msg de hilo 47 - Time: 1771100611.6267796,2026-02-14T20:29:55.102588,0.0743,2026-02-14T20:29:55.177116
Msg de hilo 0 - Time: 1771100611.7038605,2026-02-14T20:29:55.178000,0.6185,2026-02-14T20:29:55.797292
Msg de hilo 48 - Time: 1771100611.7506065,2026-02-14T20:29:55.798255,0.3038,2026-02-14T20:29:56.102451
Msg de hilo 24 - Time: 1771100611.7967248,2026-02-14T20:29:56.103334,0.9105,2026-02-14T20:29:57.014864
Msg de hilo 23 - Time: 1771100611.8431957,2026-02-14T20:29:57.016048,0.3457,2026-02-14T20:29:57.362173
Msg de hilo 14 - Time: 1771100611.8587492,2026-02-14T20:29:57.363174,1.1289,2026-02-14T20:29:58.493346
Msg de hilo 3 - Time: 1771100612.0435922,2026-02-14T20:29:58.494204,1.3387,2026-02-14T20:29:59.834339
Msg de hilo 27 - Time: 1771100612.0591161,2026-02-14T20:29:59.835289,0.1594,2026-02-14T20:29:59.994945
Msg de hilo 5 - Time: 1771100612.074735,2026-02-14T20:29:59.995977,0.5801,2026-02-14T20:30:00.576806
Msg de hilo 33 - Time: 1771100612.1671977,2026-02-14T20:30:00.577857,0.3516,2026-02-14T20:30:00.929929
Msg de hilo 42 - Time: 1771100612.2453403,2026-02-14T20:30:00.930827,1.5375,2026-02-14T20:30:02.469926
Msg de hilo 44 - Time: 1771100612.400422,2026-02-14T20:30:02.470783,1.2053,2026-02-14T20:30:03.677440
Msg de hilo 36 - Time: 1771100612.5722976,2026-02-14T20:30:03.678463,0.4607,2026-02-14T20:30:04.139733
Msg de hilo 2 - Time: 1771100612.6034179,2026-02-14T20:30:04.140650,0.2638,2026-02-14T20:30:04.404865
Msg de hilo 37 - Time: 1771100612.665749,2026-02-14T20:30:04.405803,0.6510,2026-02-14T20:30:05.057546
Msg de hilo 41 - Time: 1771100612.7442799,2026-02-14T20:30:05.058449,0.2434,2026-02-14T20:30:05.302278
Msg de hilo 9 - Time: 1771100612.760332,2026-02-14T20:30:05.303306,1.9424,2026-02-14T20:30:07.247705
Msg de hilo 38 - Time: 1771100612.77574,2026-02-14T20:30:07.248631,0.5877,2026-02-14T20:30:07.837079
Msg de hilo 10 - Time: 1771100612.9136524,2026-02-14T20:30:07.837956,1.4959,2026-02-14T20:30:09.334311
Msg de hilo 8 - Time: 1771100612.9136524,2026-02-14T20:30:09.335161,0.0821,2026-02-14T20:30:09.417414
Msg de hilo 35 - Time: 1771100612.9597754,2026-02-14T20:30:09.418344,0.4540,2026-02-14T20:30:09.872875
Msg de hilo 49 - Time: 1771100613.037395,2026-02-14T20:30:09.873712,0.2972,2026-02-14T20:30:10.171308
Msg de hilo 6 - Time: 1771100613.0682268,2026-02-14T20:30:10.172135,0.1086,2026-02-14T20:30:10.281002
Msg de hilo 32 - Time: 1771100613.099314,2026-02-14T20:30:10.281831,0.8626,2026-02-14T20:30:11.145356
Msg de hilo 43 - Time: 1771100613.1303887,2026-02-14T20:30:11.146261,0.0119,2026-02-14T20:30:11.158325
Msg de hilo 21 - Time: 1771100613.3175766,2026-02-14T20:30:11.159114,0.1006,2026-02-14T20:30:11.259907
Msg de hilo 13 - Time: 1771100613.583487,2026-02-14T20:30:11.260925,2.9925,2026-02-14T20:30:14.256596
Msg de hilo 46 - Time: 1771100613.598917,2026-02-14T20:30:14.257551,0.3168,2026-02-14T20:30:14.574814
Msg de hilo 25 - Time: 1771100613.7385087,2026-02-14T20:30:14.575651,0.3144,2026-02-14T20:30:14.890499
Msg de hilo 30 - Time: 1771100613.8458152,2026-02-14T20:30:14.891301,0.6406,2026-02-14T20:30:15.532621
Msg de hilo 40 - Time: 1771100613.92282,2026-02-14T20:30:15.533475,0.2327,2026-02-14T20:30:15.766495
Msg de hilo 27 - Time: 1771100614.0777144,2026-02-14T20:30:15.767366,0.5298,2026-02-14T20:30:16.297798
Msg de hilo 11 - Time: 1771100614.1084797,2026-02-14T20:30:16.298680,0.0537,2026-02-14T20:30:16.352580
Msg de hilo 14 - Time: 1771100614.263585,2026-02-14T20:30:16.353364,0.0162,2026-02-14T20:30:16.369700
Msg de hilo 24 - Time: 1771100614.325536,2026-02-14T20:30:16.370421,0.7881,2026-02-14T20:30:17.159406
Msg de hilo 20 - Time: 1771100614.37129,2026-02-14T20:30:17.160361,0.6026,2026-02-14T20:30:17.763660
Msg de hilo 16 - Time: 1771100614.5571225,2026-02-14T20:30:17.764549,0.3642,2026-02-14T20:30:18.129267
Msg de hilo 26 - Time: 1771100614.5723267,2026-02-14T20:30:18.130184,0.8926,2026-02-14T20:30:19.023783
Msg de hilo 18 - Time: 1771100614.5882945,2026-02-14T20:30:19.024577,0.3888,2026-02-14T20:30:19.414026
Msg de hilo 15 - Time: 1771100614.5882945,2026-02-14T20:30:19.415024,0.4401,2026-02-14T20:30:19.855645
Msg de hilo 7 - Time: 1771100614.6037629,2026-02-14T20:30:19.856478,0.1318,2026-02-14T20:30:19.988550
Msg de hilo 42 - Time: 1771100614.6196256,2026-02-14T20:30:19.989439,0.0384,2026-02-14T20:30:20.028003
Msg de hilo 47 - Time: 1771100614.6196256,2026-02-14T20:30:20.028872,0.5205,2026-02-14T20:30:20.550026
Msg de hilo 1 - Time: 1771100614.6809175,2026-02-14T20:30:20.550849,0.4489,2026-02-14T20:30:21.000322
Msg de hilo 31 - Time: 1771100614.6809175,2026-02-14T20:30:21.001296,0.4493,2026-02-14T20:30:21.451115
Msg de hilo 22 - Time: 1771100614.6809175,2026-02-14T20:30:21.452008,0.2473,2026-02-14T20:30:21.699634
Msg de hilo 17 - Time: 1771100614.7121594,2026-02-14T20:30:21.700593,0.1133,2026-02-14T20:30:21.814140
Msg de hilo 45 - Time: 1771100614.7581222,2026-02-14T20:30:21.815147,0.1148,2026-02-14T20:30:21.930221
Msg de hilo 28 - Time: 1771100614.82084,2026-02-14T20:30:21.931240,1.0332,2026-02-14T20:30:22.965462
Msg de hilo 34 - Time: 1771100614.9292626,2026-02-14T20:30:22.966422,0.7084,2026-02-14T20:30:23.675667
Msg de hilo 9 - Time: 1771100614.9446394,2026-02-14T20:30:23.676517,0.4834,2026-02-14T20:30:24.160391
Msg de hilo 48 - Time: 1771100615.0370624,2026-02-14T20:30:24.161273,1.9927,2026-02-14T20:30:26.156106
Msg de hilo 23 - Time: 1771100615.0833082,2026-02-14T20:30:26.157019,0.2812,2026-02-14T20:30:26.438600
Msg de hilo 39 - Time: 1771100615.113957,2026-02-14T20:30:26.439519,0.2206,2026-02-14T20:30:26.660434
Msg de hilo 41 - Time: 1771100615.1294842,2026-02-14T20:30:26.661300,0.2152,2026-02-14T20:30:26.876862
Msg de hilo 38 - Time: 1771100615.1294842,2026-02-14T20:30:26.877806,0.3470,2026-02-14T20:30:27.225295
Msg de hilo 33 - Time: 1771100615.144769,2026-02-14T20:30:27.226264,0.4542,2026-02-14T20:30:27.681073
Msg de hilo 0 - Time: 1771100615.1754642,2026-02-14T20:30:27.682055,0.4862,2026-02-14T20:30:28.168897
Msg de hilo 19 - Time: 1771100615.221808,2026-02-14T20:30:28.169743,0.0722,2026-02-14T20:30:28.242080
Msg de hilo 36 - Time: 1771100615.2372546,2026-02-14T20:30:28.243022,0.0612,2026-02-14T20:30:28.304431
Msg de hilo 29 - Time: 1771100615.2372546,2026-02-14T20:30:28.305261,0.1667,2026-02-14T20:30:28.472269
Msg de hilo 4 - Time: 1771100615.2524967,2026-02-14T20:30:28.473110,0.0938,2026-02-14T20:30:28.567077
Msg de hilo 12 - Time: 1771100615.3751907,2026-02-14T20:30:28.569034,0.4390,2026-02-14T20:30:29.008541
Msg de hilo 49 - Time: 1771100615.4988725,2026-02-14T20:30:29.009420,1.6377,2026-02-14T20:30:30.648856
Msg de hilo 35 - Time: 1771100615.66844,2026-02-14T20:30:30.649787,0.1354,2026-02-14T20:30:30.785487
Msg de hilo 8 - Time: 1771100615.870527,2026-02-14T20:30:30.786396,1.6398,2026-02-14T20:30:32.427963
Msg de hilo 30 - Time: 1771100615.870527,2026-02-14T20:30:32.428846,0.1089,2026-02-14T20:30:32.537982
Msg de hilo 5 - Time: 1771100615.870527,2026-02-14T20:30:32.538819,0.4220,2026-02-14T20:30:32.961319
Msg de hilo 3 - Time: 1771100615.885657,2026-02-14T20:30:32.962236,0.7415,2026-02-14T20:30:33.704571
Msg de hilo 40 - Time: 1771100615.9473875,2026-02-14T20:30:33.705428,0.6987,2026-02-14T20:30:34.404946
Msg de hilo 43 - Time: 1771100616.0395734,2026-02-14T20:30:34.405838,0.0353,2026-02-14T20:30:34.441308
Msg de hilo 21 - Time: 1771100616.0547407,2026-02-14T20:30:34.442233,0.2803,2026-02-14T20:30:34.722943
Msg de hilo 10 - Time: 1771100616.1780298,2026-02-14T20:30:34.723900,0.9881,2026-02-14T20:30:35.713124
Msg de hilo 32 - Time: 1771100616.1780298,2026-02-14T20:30:35.714035,0.6304,2026-02-14T20:30:36.345144
Msg de hilo 13 - Time: 1771100616.194055,2026-02-14T20:30:36.346070,0.2138,2026-02-14T20:30:36.560163
Msg de hilo 37 - Time: 1771100616.2404995,2026-02-14T20:30:36.560943,0.5212,2026-02-14T20:30:37.082741
Msg de hilo 44 - Time: 1771100616.3952918,2026-02-14T20:30:37.083632,0.5661,2026-02-14T20:30:37.650450
Msg de hilo 2 - Time: 1771100616.4108787,2026-02-14T20:30:37.651334,0.5898,2026-02-14T20:30:38.241803
Msg de hilo 27 - Time: 1771100616.4725528,2026-02-14T20:30:38.242628,0.1156,2026-02-14T20:30:38.357085
Msg de hilo 1 - Time: 1771100616.7058682,2026-02-14T20:30:38.358231,0.1030,2026-02-14T20:30:38.461473
Msg de hilo 7 - Time: 1771100616.7525945,2026-02-14T20:30:38.462458,0.5489,2026-02-14T20:30:39.012061
Msg de hilo 25 - Time: 1771100616.7836845,2026-02-14T20:30:39.012895,0.4173,2026-02-14T20:30:39.430767
Msg de hilo 6 - Time: 1771100616.8298042,2026-02-14T20:30:39.431670,0.4536,2026-02-14T20:30:39.885822
Msg de hilo 47 - Time: 1771100616.8454678,2026-02-14T20:30:39.886678,0.4481,2026-02-14T20:30:40.335339
Msg de hilo 46 - Time: 1771100617.0163248,2026-02-14T20:30:40.336213,1.3930,2026-02-14T20:30:41.730746
Msg de hilo 31 - Time: 1771100617.078012,2026-02-14T20:30:41.732039,0.3264,2026-02-14T20:30:42.058936
Msg de hilo 9 - Time: 1771100617.0935183,2026-02-14T20:30:42.059912,0.2158,2026-02-14T20:30:42.276045
Msg de hilo 17 - Time: 1771100617.1244805,2026-02-14T20:30:42.276872,0.1171,2026-02-14T20:30:42.394185
Msg de hilo 11 - Time: 1771100617.170914,2026-02-14T20:30:42.395112,0.2359,2026-02-14T20:30:42.631360
Msg de hilo 34 - Time: 1771100617.324862,2026-02-14T20:30:42.632251,0.2564,2026-02-14T20:30:42.888993
Msg de hilo 38 - Time: 1771100617.559151,2026-02-14T20:30:42.889848,1.3400,2026-02-14T20:30:44.231294
Msg de hilo 15 - Time: 1771100617.559151,2026-02-14T20:30:44.232283,0.6465,2026-02-14T20:30:44.879514
Msg de hilo 0 - Time: 1771100617.667185,2026-02-14T20:30:44.880517,0.9573,2026-02-14T20:30:45.838915
Msg de hilo 14 - Time: 1771100617.728427,2026-02-14T20:30:45.839830,0.0248,2026-02-14T20:30:45.864786
Msg de hilo 49 - Time: 1771100617.8056467,2026-02-14T20:30:45.865795,0.4690,2026-02-14T20:30:46.335394
Msg de hilo 24 - Time: 1771100617.8056467,2026-02-14T20:30:46.336302,1.8047,2026-02-14T20:30:48.142968
Msg de hilo 23 - Time: 1771100617.8056467,2026-02-14T20:30:48.143844,0.4347,2026-02-14T20:30:48.579083
Msg de hilo 22 - Time: 1771100617.8208447,2026-02-14T20:30:48.579875,0.1312,2026-02-14T20:30:48.711357
Msg de hilo 39 - Time: 1771100617.8208447,2026-02-14T20:30:48.712168,0.3870,2026-02-14T20:30:49.099454
Msg de hilo 19 - Time: 1771100617.8516428,2026-02-14T20:30:49.100586,0.6202,2026-02-14T20:30:49.721572
Msg de hilo 20 - Time: 1771100617.8822248,2026-02-14T20:30:49.722652,0.1587,2026-02-14T20:30:49.881674
Msg de hilo 16 - Time: 1771100617.9904664,2026-02-14T20:30:49.882648,0.7354,2026-02-14T20:30:50.618927
Msg de hilo 41 - Time: 1771100618.1445584,2026-02-14T20:30:50.619840,0.7071,2026-02-14T20:30:51.327734
Msg de hilo 18 - Time: 1771100618.175471,2026-02-14T20:30:51.328760,0.1002,2026-02-14T20:30:51.429243
Msg de hilo 32 - Time: 1771100618.253242,2026-02-14T20:30:51.430119,0.1531,2026-02-14T20:30:51.583494
Msg de hilo 42 - Time: 1771100618.28448,2026-02-14T20:30:51.584320,1.2781,2026-02-14T20:30:52.863763
Msg de hilo 26 - Time: 1771100618.28448,2026-02-14T20:30:52.864671,0.0136,2026-02-14T20:30:52.878388
Msg de hilo 5 - Time: 1771100618.330458,2026-02-14T20:30:52.879213,0.5895,2026-02-14T20:30:53.469400
Msg de hilo 30 - Time: 1771100618.3768346,2026-02-14T20:30:53.470276,0.5674,2026-02-14T20:30:54.038322
Msg de hilo 28 - Time: 1771100618.3929477,2026-02-14T20:30:54.039149,0.0748,2026-02-14T20:30:54.114095
Msg de hilo 35 - Time: 1771100618.4702196,2026-02-14T20:30:54.114992,0.8842,2026-02-14T20:30:55.000143
Msg de hilo 45 - Time: 1771100618.4857316,2026-02-14T20:30:55.000968,0.2100,2026-02-14T20:30:55.211273
Msg de hilo 8 - Time: 1771100618.5626376,2026-02-14T20:30:55.212142,2.3441,2026-02-14T20:30:57.558653
Msg de hilo 12 - Time: 1771100618.6401684,2026-02-14T20:30:57.559670,0.7534,2026-02-14T20:30:58.313960
Msg de hilo 48 - Time: 1771100618.7796586,2026-02-14T20:30:58.314917,0.0048,2026-02-14T20:30:58.319855
Msg de hilo 36 - Time: 1771100618.7951837,2026-02-14T20:30:58.320658,0.4159,2026-02-14T20:30:58.737112
Msg de hilo 25 - Time: 1771100618.8262246,2026-02-14T20:30:58.738075,0.3608,2026-02-14T20:30:59.099335
Msg de hilo 4 - Time: 1771100618.9811509,2026-02-14T20:30:59.100281,0.1841,2026-02-14T20:30:59.284656
Msg de hilo 33 - Time: 1771100619.0431695,2026-02-14T20:30:59.285699,0.0794,2026-02-14T20:30:59.365281
Msg de hilo 29 - Time: 1771100619.0586107,2026-02-14T20:30:59.366178,0.0547,2026-02-14T20:30:59.421030
Msg de hilo 13 - Time: 1771100619.1205845,2026-02-14T20:30:59.421949,0.4692,2026-02-14T20:30:59.891714
Msg de hilo 3 - Time: 1771100619.166625,2026-02-14T20:30:59.892675,0.3666,2026-02-14T20:31:00.259780
Msg de hilo 43 - Time: 1771100619.213464,2026-02-14T20:31:00.260684,0.9955,2026-02-14T20:31:01.257296
Msg de hilo 27 - Time: 1771100619.2289758,2026-02-14T20:31:01.258149,0.0198,2026-02-14T20:31:01.278135
Msg de hilo 10 - Time: 1771100619.2600212,2026-02-14T20:31:01.278945,0.2211,2026-02-14T20:31:01.500404
Msg de hilo 40 - Time: 1771100619.5085192,2026-02-14T20:31:01.501218,0.2777,2026-02-14T20:31:01.779298
Msg de hilo 37 - Time: 1771100619.6934836,2026-02-14T20:31:01.780068,0.4079,2026-02-14T20:31:02.188455
Msg de hilo 0 - Time: 1771100619.816396,2026-02-14T20:31:02.189375,0.3586,2026-02-14T20:31:02.548481
Msg de hilo 6 - Time: 1771100619.8629923,2026-02-14T20:31:02.549390,1.3693,2026-02-14T20:31:03.920134
Msg de hilo 47 - Time: 1771100619.956943,2026-02-14T20:31:03.920973,0.2630,2026-02-14T20:31:04.184270
Msg de hilo 31 - Time: 1771100619.97249,2026-02-14T20:31:04.185115,0.3793,2026-02-14T20:31:04.564881
Msg de hilo 24 - Time: 1771100619.97249,2026-02-14T20:31:04.565728,0.5515,2026-02-14T20:31:05.117928
Msg de hilo 7 - Time: 1771100620.0035434,2026-02-14T20:31:05.118731,0.0740,2026-02-14T20:31:05.192953
Msg de hilo 21 - Time: 1771100620.0351045,2026-02-14T20:31:05.193935,0.0138,2026-02-14T20:31:05.207878
Msg de hilo 2 - Time: 1771100620.0666578,2026-02-14T20:31:05.208728,0.0830,2026-02-14T20:31:05.291941
Msg de hilo 44 - Time: 1771100620.1135354,2026-02-14T20:31:05.292805,0.4407,2026-02-14T20:31:05.734053
Msg de hilo 11 - Time: 1771100620.143998,2026-02-14T20:31:05.734902,0.1756,2026-02-14T20:31:05.910783
Msg de hilo 9 - Time: 1771100620.2380347,2026-02-14T20:31:05.911631,0.0304,2026-02-14T20:31:05.942155
Msg de hilo 46 - Time: 1771100620.4412727,2026-02-14T20:31:05.942917,0.0957,2026-02-14T20:31:06.038864
Msg de hilo 28 - Time: 1771100620.6751535,2026-02-14T20:31:06.039690,0.9069,2026-02-14T20:31:06.947636
Msg de hilo 42 - Time: 1771100620.7066412,2026-02-14T20:31:06.948510,0.0710,2026-02-14T20:31:07.019710
Msg de hilo 5 - Time: 1771100620.7066412,2026-02-14T20:31:07.020535,0.4754,2026-02-14T20:31:07.496528
Msg de hilo 1 - Time: 1771100620.7066412,2026-02-14T20:31:07.497336,0.0747,2026-02-14T20:31:07.572239
Msg de hilo 34 - Time: 1771100620.7534475,2026-02-14T20:31:07.573214,0.1650,2026-02-14T20:31:07.738462
Msg de hilo 26 - Time: 1771100620.831649,2026-02-14T20:31:07.739271,0.4330,2026-02-14T20:31:08.172828
Msg de hilo 32 - Time: 1771100620.8623338,2026-02-14T20:31:08.173684,0.0074,2026-02-14T20:31:08.181180
Msg de hilo 23 - Time: 1771100620.9088817,2026-02-14T20:31:08.181884,0.2529,2026-02-14T20:31:08.433752
Msg de hilo 49 - Time: 1771100620.939876,2026-02-14T20:31:08.434577,0.1452,2026-02-14T20:31:08.580030
Msg de hilo 20 - Time: 1771100621.0328627,2026-02-14T20:31:08.580858,0.0048,2026-02-14T20:31:08.585770
Msg de hilo 15 - Time: 1771100621.0328627,2026-02-14T20:31:08.586581,0.0097,2026-02-14T20:31:08.596444
Msg de hilo 17 - Time: 1771100621.048385,2026-02-14T20:31:08.597207,0.1704,2026-02-14T20:31:08.767933
Msg de hilo 38 - Time: 1771100621.048385,2026-02-14T20:31:08.768891,0.0191,2026-02-14T20:31:08.788142
Msg de hilo 4 - Time: 1771100621.0943196,2026-02-14T20:31:08.788957,0.5378,2026-02-14T20:31:09.327394
Msg de hilo 45 - Time: 1771100621.1248722,2026-02-14T20:31:09.328229,0.1467,2026-02-14T20:31:09.475133
Msg de hilo 39 - Time: 1771100621.2328355,2026-02-14T20:31:09.476080,0.9142,2026-02-14T20:31:10.391055
Msg de hilo 19 - Time: 1771100621.2484035,2026-02-14T20:31:10.391922,1.5537,2026-02-14T20:31:11.947327
Msg de hilo 36 - Time: 1771100621.3562658,2026-02-14T20:31:11.948271,0.3348,2026-02-14T20:31:12.283514
Msg de hilo 16 - Time: 1771100621.4488769,2026-02-14T20:31:12.284520,0.0106,2026-02-14T20:31:12.295228
Msg de hilo 14 - Time: 1771100621.4644232,2026-02-14T20:31:12.295888,0.0110,2026-02-14T20:31:12.307032
Msg de hilo 8 - Time: 1771100621.4800844,2026-02-14T20:31:12.307749,0.0716,2026-02-14T20:31:12.379505
Msg de hilo 22 - Time: 1771100621.4800844,2026-02-14T20:31:12.380329,0.0192,2026-02-14T20:31:12.399677
Msg de hilo 48 - Time: 1771100621.5110972,2026-02-14T20:31:12.400524,1.1213,2026-02-14T20:31:13.523043
Msg de hilo 18 - Time: 1771100621.5724573,2026-02-14T20:31:13.523877,0.0120,2026-02-14T20:31:13.536065
Msg de hilo 33 - Time: 1771100621.8209088,2026-02-14T20:31:13.536839,0.8226,2026-02-14T20:31:14.360371
Msg de hilo 29 - Time: 1771100621.8209088,2026-02-14T20:31:14.361207,0.4620,2026-02-14T20:31:14.823824
Msg de hilo 41 - Time: 1771100621.9442718,2026-02-14T20:31:14.824670,0.1779,2026-02-14T20:31:15.002870
Msg de hilo 30 - Time: 1771100621.9597998,2026-02-14T20:31:15.003752,0.4552,2026-02-14T20:31:15.459486
Msg de hilo 25 - Time: 1771100622.0055635,2026-02-14T20:31:15.460421,0.1456,2026-02-14T20:31:15.606257
Msg de hilo 27 - Time: 1771100622.128198,2026-02-14T20:31:15.607121,0.1053,2026-02-14T20:31:15.712621
Msg de hilo 12 - Time: 1771100622.1588287,2026-02-14T20:31:15.713444,0.0391,2026-02-14T20:31:15.752724
Msg de hilo 43 - Time: 1771100622.2048724,2026-02-14T20:31:15.753655,0.4068,2026-02-14T20:31:16.160972
Msg de hilo 0 - Time: 1771100622.2048724,2026-02-14T20:31:16.161807,0.3086,2026-02-14T20:31:16.470869
Msg de hilo 40 - Time: 1771100622.390303,2026-02-14T20:31:16.471658,0.0089,2026-02-14T20:31:16.480689
Msg de hilo 35 - Time: 1771100622.4214091,2026-02-14T20:31:16.481581,0.8962,2026-02-14T20:31:17.378785
Msg de hilo 11 - Time: 1771100622.530133,2026-02-14T20:31:17.379642,0.1445,2026-02-14T20:31:17.524380
Msg de hilo 21 - Time: 1771100622.530133,2026-02-14T20:31:17.525271,1.1770,2026-02-14T20:31:18.703553
Msg de hilo 3 - Time: 1771100622.6239774,2026-02-14T20:31:18.704389,0.9438,2026-02-14T20:31:19.649267
Msg de hilo 47 - Time: 1771100622.7012365,2026-02-14T20:31:19.650158,0.2473,2026-02-14T20:31:19.897784
Msg de hilo 9 - Time: 1771100622.716592,2026-02-14T20:31:19.898646,0.1788,2026-02-14T20:31:20.077738
Msg de hilo 31 - Time: 1771100622.8391886,2026-02-14T20:31:20.078556,0.5793,2026-02-14T20:31:20.658528
Msg de hilo 46 - Time: 1771100622.9010956,2026-02-14T20:31:20.659555,0.9478,2026-02-14T20:31:21.608447
Msg de hilo 13 - Time: 1771100623.0403497,2026-02-14T20:31:21.609274,0.6378,2026-02-14T20:31:22.247790
Msg de hilo 10 - Time: 1771100623.0558891,2026-02-14T20:31:22.248615,0.1110,2026-02-14T20:31:22.359793
Msg de hilo 44 - Time: 1771100623.149178,2026-02-14T20:31:22.360602,0.4817,2026-02-14T20:31:22.842606
Msg de hilo 26 - Time: 1771100623.259899,2026-02-14T20:31:22.843572,0.0088,2026-02-14T20:31:22.852483
Msg de hilo 23 - Time: 1771100623.259899,2026-02-14T20:31:22.853130,0.3268,2026-02-14T20:31:23.180358
Msg de hilo 49 - Time: 1771100623.2752464,2026-02-14T20:31:23.181163,0.0040,2026-02-14T20:31:23.185259
Msg de hilo 37 - Time: 1771100623.3066225,2026-02-14T20:31:23.185895,0.6192,2026-02-14T20:31:23.805782
Msg de hilo 2 - Time: 1771100623.353937,2026-02-14T20:31:23.806548,0.2792,2026-02-14T20:31:24.086135
Msg de hilo 6 - Time: 1771100623.478875,2026-02-14T20:31:24.087234,0.5239,2026-02-14T20:31:24.611745
Msg de hilo 34 - Time: 1771100623.5722964,2026-02-14T20:31:24.612528,0.1176,2026-02-14T20:31:24.730387
Msg de hilo 24 - Time: 1771100623.6193986,2026-02-14T20:31:24.731235,0.3587,2026-02-14T20:31:25.090378
Msg de hilo 32 - Time: 1771100623.759209,2026-02-14T20:31:25.091289,1.2609,2026-02-14T20:31:26.353546
Msg de hilo 7 - Time: 1771100623.7904387,2026-02-14T20:31:26.354331,1.6887,2026-02-14T20:31:28.044857
Msg de hilo 4 - Time: 1771100623.837014,2026-02-14T20:31:28.045781,0.0468,2026-02-14T20:31:28.092758
Msg de hilo 42 - Time: 1771100623.837014,2026-02-14T20:31:28.093603,0.1772,2026-02-14T20:31:28.271053
Msg de hilo 16 - Time: 1771100623.852416,2026-02-14T20:31:28.271949,0.4897,2026-02-14T20:31:28.762228
Msg de hilo 28 - Time: 1771100623.8677688,2026-02-14T20:31:28.763092,0.0675,2026-02-14T20:31:28.830728
Msg de hilo 41 - Time: 1771100623.9908245,2026-02-14T20:31:28.831647,0.2656,2026-02-14T20:31:29.097582
Msg de hilo 8 - Time: 1771100624.0976079,2026-02-14T20:31:29.098568,0.0261,2026-02-14T20:31:29.124798
Msg de hilo 18 - Time: 1771100624.2521653,2026-02-14T20:31:29.125687,0.8887,2026-02-14T20:31:30.015361
Msg de hilo 39 - Time: 1771100624.2673883,2026-02-14T20:31:30.016181,0.2279,2026-02-14T20:31:30.244394
Msg de hilo 1 - Time: 1771100624.3767126,2026-02-14T20:31:30.245212,0.0540,2026-02-14T20:31:30.299321
Msg de hilo 27 - Time: 1771100624.377214,2026-02-14T20:31:30.300363,0.1416,2026-02-14T20:31:30.442239
Msg de hilo 5 - Time: 1771100624.3767126,2026-02-14T20:31:30.443114,0.9941,2026-02-14T20:31:31.438350
Msg de hilo 38 - Time: 1771100624.3767126,2026-02-14T20:31:31.439240,0.2795,2026-02-14T20:31:31.719150
Msg de hilo 17 - Time: 1771100624.3926969,2026-02-14T20:31:31.719955,0.5695,2026-02-14T20:31:32.290168
Msg de hilo 22 - Time: 1771100624.4235585,2026-02-14T20:31:32.290951,0.0312,2026-02-14T20:31:32.322376
Msg de hilo 19 - Time: 1771100624.4235585,2026-02-14T20:31:32.323197,0.3106,2026-02-14T20:31:32.634206
Msg de hilo 14 - Time: 1771100624.5321186,2026-02-14T20:31:32.635278,1.3973,2026-02-14T20:31:34.034065
Msg de hilo 45 - Time: 1771100624.6259217,2026-02-14T20:31:34.034956,0.8547,2026-02-14T20:31:34.889955
Msg de hilo 20 - Time: 1771100624.718778,2026-02-14T20:31:34.890942,0.5005,2026-02-14T20:31:35.392110
Msg de hilo 48 - Time: 1771100624.8881185,2026-02-14T20:31:35.392924,0.0345,2026-02-14T20:31:35.427578
Msg de hilo 15 - Time: 1771100625.0125856,2026-02-14T20:31:35.428328,0.1647,2026-02-14T20:31:35.593330
