inter_arrival_time,processing_time
0.031543,0.0074
0.015225,0.0267
0.138937,0.1112
0.030584,0.2765
0.015241,0.478
0.015494,0.2153
0.0,0.6156
0.046171,0.3819
0.092414,0.5264
0.031067,0.5326
0.046115,0.4962
0.045763,0.1551
0.01588,0.1183
0.030787,0.645
0.061464,0.2016
0.015223,0.283
0.0462,0.562
0.076674,0.412
0.015339,1.1933
0.09305,0.4061
0.031513,0.504
0.015538,0.0958
0.030905,1.1836
0.093309,0.8334
0.06175,0.9211
0.031124,1.0522
0.107216,0.3456
0.0,0.82
0.045913,0.0953
0.045949,0.3588
0.061787,0.2486
0.015238,0.3991
0.216446,0.8542
0.0,0.2859
0.031348,0.1345
0.0,0.0854
0.124169,0.0622
0.046497,0.5631
0.094081,0.2968
0.015387,0.2833
0.015532,0.046
0.153986,0.2169
0.015069,0.144
0.186082,0.0909
0.202182,0.3879
0.030786,0.3262
0.0,0.0401
0.015126,0.33
0.14011,2.0457
0.031461,0.0181
0.0,0.0166
0.061001,0.5596
0.200502,0.5257
0.061741,0.7213
0.109103,1.2728
0.138802,2.3622
0.031545,0.1042
0.092363,0.2997
0.0,0.2918
0.015373,0.6215
0.093055,0.1575
0.076591,0.213
0.108245,0.1374
0.0,0.0869
0.031252,0.5793
0.0,0.0176
0.076904,0.0111
0.030585,0.442
0.015319,0.0446
0.061609,1.5401
0.015278,0.113
0.092751,1.1107
0.046502,0.1776
0.07714,0.043
0.0,0.6881
0.107317,0.2297
0.030979,1.3985
0.0,0.3137
0.030514,0.8504
0.046091,0.376
0.04648,0.6452
0.247758,0.1356
0.139911,1.6775
0.04647,0.032
0.045876,0.0305
0.030289,0.0318
0.046271,0.0687
0.015494,0.038
0.061519,0.9405
0.077444,0.1273
0.139276,0.1198
0.0,0.7691
0.201764,0.7149
0.015344,0.6252
0.0312,0.3561
0.04631,0.2056
0.0,0.4899
0.031024,0.2416
0.07705,0.2705
0.015819,1.493
0.030664,0.14
0.046756,0.0739
0.031184,0.2263
0.062204,0.2834
0.015754,0.1113
0.015345,0.1492
0.031254,2.1952
0.124866,0.0393
0.046627,0.9582
0.123639,1.1017
0.093147,0.7149
0.046308,0.7229
0.030864,0.8547
0.156724,0.1798
0.124491,0.4942
0.031014,0.8578
0.0,0.3404
0.1549,0.9927
0.062773,0.0803
0.047378,0.1196
0.046569,0.0789
0.0,0.2792
0.1574,1.781
0.031263,0.4357
0.093416,0.0797
0.03089,0.1819
0.0,0.3583
0.015191,0.1064
0.108958,0.0032
0.061671,0.1271
0.0,0.2808
0.093193,0.2674
0.155188,0.0556
0.139966,1.4828
0.031338,0.4773
0.030648,0.4823
0.015474,1.6172
0.015514,1.4366
0.06213,0.1761
0.046642,0.1962
0.077294,0.6879
0.0,0.3919
0.03096,0.1146
0.07848,1.7554
0.108595,1.154
0.093212,0.9255
0.078532,0.7895
0.046304,1.3811
0.01557,0.0923
0.030295,0.672
0.107686,0.1188
0.0,0.0459
0.184755,0.023
0.062587,0.0337
0.045978,0.0597
0.046356,0.2009
0.0,0.139
0.0,1.4774
0.108646,0.4975
0.062029,0.4343
0.015988,1.867
0.015342,0.5518
0.030762,0.0893
0.046378,0.0436
0.031162,0.5688
0.092607,0.8409
0.06265,0.1822
0.061988,0.2163
0.0,0.4321
0.015541,0.5744
0.155952,0.4053
0.06241,0.1927
0.093562,0.6071
0.326606,0.3703
0.061579,1.015
0.0,0.3968
0.046238,0.0659
0.077418,0.1509
0.015334,0.2503
0.045921,0.6128
0.061744,0.0696
0.076911,0.6707
0.076845,0.3783
0.125257,0.4263
0.046688,0.3007
0.015416,0.556
0.015262,0.997
0.030888,0.9336
0.139806,0.4181
0.061857,0.6113
0.015882,0.1084
0.015404,0.0605
0.093364,0.6255
0.015515,0.1224
0.0,0.2395
0.0,1.5117
0.061835,0.924
0.092839,0.0364
0.045825,0.4957
0.06138,0.7917
0.030547,0.2826
0.139157,0.0172
0.030905,0.0151
0.0,0.0033
0.357135,0.2744
0.03073,0.0531
0.015508,0.9949
0.123855,0.6979
0.076967,0.9509
0.015261,0.0737
0.077385,0.3786
0.076714,1.662
0.138498,0.4188
0.061921,0.0465
0.016004,0.2018
0.0,0.4642
0.046673,0.4787
0.092328,0.2541
0.0,0.0226
0.077076,0.7961
0.015527,0.1227
0.0,0.208
0.047327,1.4096
0.045907,0.0812
0.139795,0.7412
0.0,0.373
0.076854,0.4978
0.077175,1.3955
0.10827,0.3097
0.077685,0.2698
0.0,0.3557
0.07748,0.5352
0.030662,1.2046
0.154723,0.0244
0.046431,1.0668
0.061803,0.206
0.015127,0.2308
0.0,2.3206
0.030816,0.5105
0.230899,0.7809
0.0,0.4109
0.077175,1.4109
0.076966,0.0111
0.015156,2.4754
0.045755,0.3339
0.076278,0.2184
0.061838,0.0131
0.015261,2.088
0.07783,1.0964
0.030906,0.4565
0.01534,1.1919
0.0,0.1859
0.030617,0.0167
0.093013,0.3657
0.0,1.7759
0.215962,0.2653
0.030993,0.2244
0.015591,0.2706
0.015508,0.1939
0.015625,0.2377
0.061266,0.0088
0.046232,0.3197
0.278047,0.3571
0.138095,0.5221
0.0,0.0457
0.031057,0.6524
0.124964,0.4875
0.0,0.4044
0.016051,0.0094
0.0,0.5406
0.031064,0.1338
0.047114,0.0396
0.079204,0.7019
0.047082,0.1238
0.061928,0.2541
0.061686,0.1089
0.093157,0.3064
0.0,0.2767
0.077403,0.023
0.03093,1.8367
0.015609,0.1443
0.169765,0.0835
0.251493,0.1558
0.109087,0.6048
0.062555,0.0103
0.0,0.9652
0.0,0.1859
0.107602,0.4922
0.030389,0.1184
0.061821,0.9407
0.0,0.3997
0.076686,0.2478
0.107919,0.1286
0.047064,0.163
0.172005,0.4603
0.031523,0.6158
0.109016,0.0002
0.016016,1.1465
0.046195,0.0322
0.015845,0.2374
0.047029,0.1478
0.0,0.3938
0.061405,0.4351
0.093084,0.2922
0.077751,0.1077
0.062145,0.2555
0.0,0.4387
0.077762,0.1222
0.0,0.1492
0.0,1.6496
0.061277,0.2874
0.062198,0.1373
0.030922,0.0216
0.031339,0.4358
0.0,0.4694
0.031559,0.0743
0.077081,0.6185
0.046746,0.3038
0.046118,0.9105
0.046471,0.3457
0.015553,1.1289
0.184843,1.3387
0.015524,0.1594
0.015619,0.5801
0.092463,0.3516
0.078143,1.5375
0.155082,1.2053
0.171875,0.4607
0.03112,0.2638
0.062331,0.651
0.078531,0.2434
0.016052,1.9424
0.015408,0.5877
0.137913,1.4959
0.0,0.0821
0.046123,0.454
0.07762,0.2972
0.030832,0.1086
0.031087,0.8626
0.031075,0.0119
0.187188,0.1006
0.26591,2.9925
0.01543,0.3168
0.139592,0.3144
0.107306,0.6406
0.077005,0.2327
0.154894,0.5298
0.030765,0.0537
0.155105,0.0162
0.061951,0.7881
0.045754,0.6026
0.185833,0.3642
0.015204,0.8926
0.015968,0.3888
0.0,0.4401
0.015468,0.1318
0.015863,0.0384
0.0,0.5205
0.061292,0.4489
0.0,0.4493
0.0,0.2473
0.031242,0.1133
0.045963,0.1148
0.062718,1.0332
0.108423,0.7084
0.015377,0.4834
0.092423,1.9927
0.046246,0.2812
0.030649,0.2206
0.015527,0.2152
0.0,0.347
0.015285,0.4542
0.030695,0.4862
0.046344,0.0722
0.015447,0.0612
0.0,0.1667
0.015242,0.0938
0.122694,0.439
0.123682,1.6377
0.169568,0.1354
0.202087,1.6398
0.0,0.1089
0.0,0.422
0.01513,0.7415
0.06173,0.6987
0.092186,0.0353
0.015167,0.2803
0.123289,0.9881
0.0,0.6304
0.016025,0.2138
0.046444,0.5212
0.154792,0.5661
0.015587,0.5898
0.061674,0.1156
0.233315,0.103
0.046726,0.5489
0.03109,0.4173
0.04612,0.4536
